id,entry,lifeStats,sort
ozSFPaN7Zr,AAm7PAwbrh48,"(8dCyqKbGCn , GgUTjSMGDQ)",ODvk9IVyQh
Pmt7oRaIMT,AAFeO0qsvggN,"(w1xAShafEn , 1HTERDtPwv)",Gh7VRhPscM
3QTwdKYovo,AAxmNeiwcCa2,"(wfDaa0L0dk , A9imuwCqKV)",nIhZH4HT92
DAGRd4nRqm,AAze5esAsISl,"(N45uK4QSKA , WexxN6qVqK)",GS313OASSC
krhczhG2sy,AAomW7uMSTGy,"(YAJ9qRJ4fZ , FiZv1kibhU)",gz9h58xgOc
5tKhxI4cG3,AABBhEnhBExg,"(eNXZrQHUob , wSkKDJYKow)",cRogI5Ta7u
hUj5RRYmum,AAhoUvslKwha,"(ABiYrX06yl , an9Nqgubfx)",buQyCfcRfz
KFwzyaa6YX,AAascj1oODww,"(FbaNG1FMfH , Izv7IEO824)",ghJpXXs5qz
vbXFGa1KB0,AAcsaUTxs7TR,"(iHtsY0CoNV , LziaIpAGbh)",Vdf7POtIUY
XP7Qv1SZ3t,AAcvuHyHAwNr,"(WgrjN1GK58 , GoNWPiB5cx)",xJXRKB1N1J
uVZvnXxEbX,ABwL71OU6XBu,"(3D2BvhFGGy , L5nyYOKMVn)",XgKpLUTzlQ
mYJlXCThNG,ABUabutNo4k3,"(ACW6gMVdo7 , 71QDj27JxM)",RxevCBivo5
7WOmzCSerh,ABaoAamMxGmn,"(bsYnSNnWHB , lXe3QlPklQ)",BgrXi0QzDP
jHDrlYvLWi,ABzsuzu0Xfq2,"(JroBjIk1L7 , mDg7MJVtUG)",ghDBvhxrFI
QX0ZyUE0Qt,ABB4AsZTOoPW,"(ZANgg5Ka9V , p40UqEIxj7)",rgwOcid9My
F8qVv23bPe,ABIHEOZAz1yC,"(jomlgEqtIF , qCGqYsu3ze)",ve1ARyGztQ
rURJr8b2oh,ABqcuJt5htYG,"(dw1p96654y , fXWOUBSMKf)",BlRsIY1k07
oFHMIo7ZC3,ABEKcIpLXrxt,"(1HbVo0jkrp , wIfa7utwY9)",5mfM5hQhZs
pZqQR7JV0C,ABm70xkUiCDD,"(JnQSOayQUs , 5Z5lVSwF8e)",6j0KZLP0Yn
pVpF2N0U8K,ABudpEdMZc7n,"(L1JgTyYgTN , fstFBfbjpW)",yblh7apHJv
pWivf0kiMC,AChBXNAtChdd,"(zmf5IrMO0v , DTEw8KGMiX)",UyBu4PAuEx
xSo8EqvpU4,ACWJWxuRdxhL,"(ZXgTo7sXh4 , dqXVeYSS3e)",buUWG85ELa
6vb8Ca2MuX,AC6D3G9h4987,"(vuwfsYWSvp , AY6KCuJJNT)",0ZEdvzZg2x
p4212wPPfE,ACXQphvpK4Qc,"(c9iQlnSD8S , XCr5VrYWTS)",ppvIEE2dWg
9cRMadKtSq,ACKcPepylp9O,"(qY78pSrr9o , 1tWLbZ02Dk)",7qlQvixt4C
I0G4AT1tJ2,ACdDEL1qUrse,"(X7kb5k4gga , W7EMEIroIs)",oODaOyYvtI
KW1e0kWNgm,ACD9DYiypHy4,"(hrmg5mpMnS , 2ORpydor7E)",RzbQ0a7HyV
YOilSo0pEm,AC5dPQfP1CpX,"(H1uzzLY70X , LjJJ0ulRL5)",PqM1Dem0Dc
8Gplin4GSU,ACZeF7IbFRTo,"(LISZOTJ2ES , Aumc0dei28)",QOUNy5l6jJ
Pp8gI6GRsL,ACvmHqBKh6rP,"(tQS8jz9Vng , 2hfYefuYeB)",db2Cl6hctX
ia5UvmqF00,ADPTLsIUOuym,"(CG4DgZ90Ya , bgADoqw5d9)",W2A1uihZEZ
CcTZ2P9wWf,ADsRQkDVckC2,"(oQeOTZpS5O , ZbKHxn7YhK)",rqLJe0OUam
t95QjerX1Q,AD2U1S8jWstz,"(zu7uzoMXQB , giutYdsIk3)",2urZMbXRAV
NaKiaeCtVB,ADu8j9kc2oUq,"(lTQl90QvhX , YfbtAaXHVn)",RVmQhYMzdY
Fw7rNwBnyu,ADQ5kD15s4PU,"(HxGxIyIZ4z , e1ocxg53bI)",xoeqGFdgdk
SgFLoAHRtd,ADnGWnTuiGFf,"(FlswbVEqaF , hoftAL26np)",vSuJViUmyW
39GCXo6ItB,ADHirQqGuUiR,"(gVqZIuGRI2 , RbuYD9MHnJ)",6vViMoi3Dz
65exf9z67c,ADbDwHIJMGkX,"(kAcG3nSu2S , AZIgyQ72hB)",CgM58vg6Ah
j5CSRwttoy,AD8w4fIhgpzU,"(ScZYaxepA9 , IfyJ8wdVmq)",LmV07NGSQ4
QCMaX2oYrH,ADGW8N7p5jp8,"(l8sK08wz3K , QnBQhvBMhT)",xuT9LkQ9GR
YOF0KJ08QN,AE7bphg0Om1b,"(OQQWJF64qA , dt8nXazf5d)",29Oio54zZh
Kc3o4ZJDFI,AESoy3n4AmI6,"(cM6JqEqMiD , 0979wkV0v4)",fU9sr9kzuB
FPaIoFNO3i,AEretw3ZhmTy,"(B6erVP5rtu , UbOQtbNno5)",PtrIIQ5sba
UcLJy7rkp8,AE3xNCNKqVKx,"(A7TE1o665z , lVocNwhA2H)",E4HfnPSgj8
ruOBCVCtPw,AEKjPEd82YqB,"(mYH2976Ct1 , K9VGvqDkTL)",xE8rmtEMtB
AxtEevQ7CP,AEWdGHp3WNgA,"(HHPqJAfNhc , HRveHZI2Yz)",zTljwXyJCF
BCCtPGT0YT,AEiJvocX7k8b,"(RZOUoG9Cfj , A8qegMVTrU)",iYYYx5bgD1
vKsNSPM9CF,AEep82CE5wLF,"(qo25vp5hnx , InTsOOeARQ)",5wwVuMSosF
zGBfAGv1Wr,AEOgAVWQ7z33,"(e3lYeas2m2 , FE03wyLRFr)",NOVHMc8Nan
Xu4qcbbEoZ,AEp8NJjhg1tj,"(ch1Mswm0DW , vqedm1gafm)",DCqcgE5T8v
Y15E54XMwn,AFjkp0vIVvSE,"(aqIO3HqKiu , BdSRZl0Ke0)",02wZgnvwm6
LmOBoauNIa,AFYHbLR6gNbB,"(d9GpJIsyYM , qY2hf7sJCw)",tp5JblMg1c
